ID,US ID,Process Flow,RFP/NEW,Priority,Epic ,New Epic,Feature,Story,Efforts ,Efforts in person-days - Final,Sprint #,JIRA ID,,,,,,,,,,Don't Delete,Don't Delete,Efforts ,New Epics
"Req_009
PP_176",Req_009_001,T2 Mediation,RFP,Priority 1,Service Cloud Console / Page Layouts,Vehicle Console,,Display Number of Open Cases for VIN in Case Information Section,5,,,PR09918-357,#N/A,,,,,,,,,Req_009,Req_009,5,Vehicle Console
"Req_118
PP_177",Req_118_002,T2 Mediation,RFP,Priority 1,Service Cloud Console / Page Layouts,Case management - Automation,,Auto-Populate Case Document with Data from Multiple Systems,21,,,PR09918-356,#N/A,,,,,,,,,Req_118,Req_118,21,Case management - Automation
"Req_119
PP_191",Req_119_001,T2 Mediation,RFP,Priority 1,Service Cloud Console / Page Layouts,Document Management,,Bulk File Upload Feature in CRRS,8,,,#N/A,#N/A,,,,,,,,,Req_119,Req_119,8,Document Management
"Req_119
PP_192",Req_119_002,T2 Mediation,RFP,Priority 1,Service Cloud Console / Page Layouts,Document Management,,"Increase Attachment File Size Limit to 3 GB in CRRS
",8,,,PR09918-347,#N/A,,,,,,,,,Req_119,Req_119,8,Document Management
Req_197,Req_197_001,T2 Mediation Check Request,RFP,Priority 1,Case management,Agent Functions via Email Application,,Contact Parties to Negotiate a Settlement,0,,,PR09918-241,PR09918-241,,,,,,,,,Req_197,Req_197,0,Agent Functions via Email Application
Req_200,Req_200_001,T2 Mediation Check Request,RFP,Priority 1,Case management,Agent Functions via Email Application,,Ability for Agents to Notify Customers About Check Arrival in CRRS,0,,,PR09918-242,PR09918-242,,,,,,,,,Req_200,Req_200,0,Agent Functions via Email Application
Req_203,Req_203_001,T2 Mediation Check Request,RFP,Priority 1,Case management,Mediation Tool Automation,,Ability for Agents to Mail a Check in CRRS,0,,,#N/A,PR09918-234,,,,,,,,,Req_203,Req_203,0,Mediation Tool Automation
Req_205,Req_205_001,T2 Mediation Check Request,RFP,Priority 1,Case management,Mediation Tool Automation,,Admin Receives and Sends Check to Sedgwick in CRRS,0,,,#N/A,PR09918-235,,,,,,,,,Req_205,Req_205,0,Mediation Tool Automation
"Req_1048
PP_179",Req_1048_001,T2 Mediation Check Request,New,Priority 2,Automatic Case Routing and Tracking,Case Assignment,,Manual Case Assignment by Supervisor,13,,,PR09918-358,#N/A,,,,,,,,,Req_1048,Req_1048,0,Case Assignment
Req_199,Req_199_001,T2 Mediation Check Request,RFP,Priority 1,Case Management,Case Management,,Ability for Agents to Create Mediation Actions for Cases in CRRS,0,,,PR09918-194,PR09918-194,,,,,,,,,Req_199,Req_199,0,Case Management
Req_201,Req_201_001,T2 Mediation Check Request,RFP,Priority 1,Case Management,Case Management,,Ability for Agents to Update Case with Disposition and Outcome in CRRS,0,,,PR09918-199,PR09918-199,,,,,,,,,Req_201,Req_201,0,Case Management
Req_204,Req_204_001,T2 Mediation Check Request,RFP,Priority 1,Case Management,Case Management,,Ability for Agents to Update the Issue in CRRS,0,,,PR09918-223,PR09918-223,,,,,,,,,Req_204,Req_204,0,Case Management
Req_206,Req_206_001,T2 Mediation Check Request,RFP,Priority 1,Case Management,Mediation Tool Automation,,Ability for Agents to Cancel a Check Request in CRRS,0,,,#N/A,PR09918-236,,,,,,,,,Req_206,Req_206,0,Mediation Tool Automation
Req_210,Req_210_001,T2 Mediation Check Request,RFP,Priority 1,Case Management,Case Management,,Ability for Agents to Prioritize Cases in CRRS,0,,,PR09918-225,PR09918-225,,,,,,,,,Req_210,Req_210,0,Case Management
"Req_1049
PP_181",Req_1049_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Search Functionality,,Default Dealer Lookup to 'All Fields',8,,,PR09918-245,#N/A,,,,,,,,,Req_1049,Req_1049,0,Search Functionality
"Req_1050
PP_182",Req_1050_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Vehicle Console,,Automate Dealer and Vehicle Details Population,13,,,PR09918-247,#N/A,,,,,,,,,Req_1050,Req_1050,0,Vehicle Console
"Req_1054
PP_186",Req_1054_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Mediation Tool Automation,,Automate Document Header Population for Direct Replacement,8,,,PR09918-365,#N/A,,,,,,,,,Req_1054,Req_1054,0,Mediation Tool Automation
"Req_1055
PP_187",Req_1055_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Mediation Tool Automation,,Combine Replacement Worksheet and Direct Replacement Instructions,21,,,#N/A,#N/A,,,,,,,,,Req_1055,Req_1055,0,Mediation Tool Automation
"Req_1056
PP_188",Req_1056_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Mediation Tool Automation,,"Automate Settlement Workbook Population for Non-Buyback Mediation
",13,,,#N/A,#N/A,,,,,,,,,Req_1056,Req_1056,0,Mediation Tool Automation
"Req_1057
PP_189",Req_1057_001,T2 Mediation Check Request,New,Priority 2,Case Management - Automation,Mediation Tool Automation,,Automate Mediation Expense Capture,13,,,#N/A,#N/A,,,,,,,,,Req_1057,Req_1057,0,Mediation Tool Automation
Req_198,Req_198_001,T2 Mediation Check Request,RFP,Priority 2,Case Management - Automation,Mediation Tool Automation,,Automation of Check Requests and Integration with SAP for Attorney Checks,0,,,#N/A,PR09918-233,,,,,,,,,Req_198,Req_198,0,Mediation Tool Automation
"Req_1058
PP_190",Req_1058_001,T2 Mediation Check Request,New,Priority 2,Case Management - Manage Cases,Mediation Tool Automation,,Vehicle Inventory Tracking for Buyback Vehicles,13,,,#N/A,#N/A,,,,,,,,,Req_1058,Req_1058,0,Mediation Tool Automation
Req_207,Req_207_001,T2 Mediation Check Request,RFP,Priority 1,Case Management - Manage Cases,Mediation Tool Automation,,Ability for Agents to Track Car Inventory in CRRS,0,,,#N/A,PR09918-237,,,,,,,,,Req_207,Req_207,0,Mediation Tool Automation
"Req_1053
PP_185",Req_1053_001,T2 Mediation Check Request,New,Priority 2,Case Management - Process,Mediation Tool Automation,,Streamline Check Request Review Process,8,,,PR09918-364,#N/A,,,,,,,,,Req_1053,Req_1053,0,Mediation Tool Automation
Req_209,Req_209_001,T2 Mediation Check Request,RFP,Priority 1,Case Management - Process,Mediation Tool Automation,,Ability for Non-Approver to Void/Reject a Check Request in CRRS,0,,,#N/A,PR09918-238,,,,,,,,,Req_209,Req_209,0,Mediation Tool Automation
Req_246,Req_246_001,T2 Mediation Check Request,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,"Ability for Supervisors to Report on Stopped Check Requests in CRRS
",0,,,PR09918-243,PR09918-243,,,,,,,,,Req_246,Req_246,0,Reports & Dashboards
Req_247,Req_247_001,T2 Mediation Check Request,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Ability for Supervisors to Report on Auction Sale Proceeds in CRRS in CRRS,0,,,PR09918-244,PR09918-244,,,,,,,,,Req_247,Req_247,0,Reports & Dashboards
"Req_1051
PP_183",Req_1051_001,T2 Mediation Check Request,New,Priority 2,Service Cloud Console / Page Layouts,Data Integration,,Ability for Specialists to Access External Websites via Links in CRRS,8,,,PR09918-118,#N/A,,,,,,,,,Req_1051,Req_1051,0,Data Integration
"Req_1052
PP_184",Req_1052_001,T2 Mediation Check Request,New,Priority 2,Service Cloud Console / Page Layouts,Mediation Tool Automation,,Automate Workbook Data Population for Check Requests,13,,,PR09918-364,#N/A,,,,,,,,,Req_1052,Req_1052,0,Mediation Tool Automation
Req_208,Req_208_001,T2 Mediation Check Request,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Ability for Agents to View Notes Section in the Mediation Tab in CRRS,0,,,PR09918-224,PR09918-224,,,,,,,,,Req_208,Req_208,0,Case Management
"Req_1042
PP_200",Req_1042_001,L1 Mediation,New,Priority 1,Automatic Case Routing and Tracking,Mediation Tool Automation,,Automate Case Routing from T1 Inbound to L1 Mediation Queue Based on Probing Questions (PQ),13,,,PR09918-336,#N/A,,,,,,,,,Req_1042,Req_1042,13,Mediation Tool Automation
"Req_1043
PP_201",Req_1043_001,L1 Mediation,New,Priority 1,Automatic Case Routing and Tracking,Case Management,,Enable AHM Mediation Business Admin to Assign Cases from L1 Mediation Queue,13,,,PR09918-344,#N/A,,,,,,,,,Req_1043,Req_1043,13,Case Management
"Req_1044
PP_202",Req_1044_001,L1 Mediation,New,Priority 2,Case Management - Automation,Mediation Tool Automation,,Automate L1 Assessment  Creation with a Pre-Populated Template,8,,,PR09918-338,#N/A,,,,,,,,,Req_1044,Req_1044,8,Mediation Tool Automation
"Req_1045
PP_203",Req_1045_001,L1 Mediation,New,Priority 2,,Mediation Tool Automation,,Automate Supervisor Review Process for L1 Assessments,8,,,PR09918-339,#N/A,,,,,,,,,Req_1045,Req_1045,8,Mediation Tool Automation
"Req_1047
PP_205",Req_1047_001,L1 Mediation,New,Priority 1,Case Management - cases,Case Management - Automation,,Enhance Identification and Prioritization of Time-Sensitive L1 Mediation Cases,13,,,PR09918-99,#N/A,,,,,,,,,Req_1047,Req_1047,13,Case Management - Automation
"Req_1046
PP_204",Req_1046_001,L1 Mediation,New,Priority 1,Case Management - Process,Case Management,,Enhance Case Notes to Display Probing Question Descriptions,21,,,PR09918-216,#N/A,,,,,,,,,Req_1046,Req_1046,21,Case Management
"Req_1104
PP_092",Req_1104_001,PCRM inbound SMS,New,Priority 1,Case Management - Automation,Chat Management - Automation,,Streamline Issue Disposition Process in Salesforce Lightning,3,,,PR09918-323,#N/A,,,,,,,,,Req_1104,Req_1104,0,Chat Management - Automation
Req_250,Req_250_001,PCRM inbound SMS,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Ability to Generate PCRM Reports from Within CRRS,0,,,PR09918-333,PR09918-333,,,,,,,,,Req_250,Req_250,0,Reports & Dashboards
Req_166,Req_166_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Search functionality,,Ability to View ‘Find Contact’ in a Pop-Out Window,0,,,PR09918-334,PR09918-334,,,,,,,,,Req_166,Req_166,0,Search functionality
"Req_1100
PP_087",Req_1100_001,PCRM inbound SMS,New,Priority 2,Social Customer Service,Chat Management - Automation,,Automate chat Closure Based on Pre-set Quiet Time,3,,,PR09918-318,#N/A,,,,,,,,,,Req_1100,0,Chat Management - Automation
"Req_1101
PP_088",Req_1101_001,PCRM inbound SMS,New,Priority 2,Social Customer Service,Chat Management - Automation,,Automated Agent Alert for Missed Appointments,5,,,PR09918-319,#N/A,,,,,,,,,,Req_1101,0,Chat Management - Automation
"Req_1170
PP_089",Req_1170_001,PCRM inbound SMS,New,Priority 4,Social Customer Service,Chat Management - Automation,,Automation of T2 aging cases,0,,,PR09918-320,#N/A,,,,,,,,,,Req_1170,0,Chat Management - Automation
"Req_1102
PP_090",Req_1102_001,PCRM inbound SMS,New,Priority 1,Social Customer Service,Chat Management,,Unified Contact and Chat Management in Salesforce AutoCloud,5,,,PR09918-310,#N/A,,,,,,,,,,Req_1102,0,Chat Management
"Req_1103
PP_091",Req_1103_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,Automate Case Issue Creation for Inbound SMS Conversations,0,,,PR09918-321,#N/A,,,,,,,,,,Req_1103,0,Chat Management - Automation
"Req_156
PP_093",Req_156_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,Automated Agent Alerts for One-Way SMS Responses,0,,,PR09918-324,PR09918-325,,,,,,,,,,Req_156,0,Chat Management - Automation
"Req_155
",Req_155_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management,,Agent Can View Incoming SMS Messages in Campaigns Live Messages Queue,0,,,PR09918-311,PR09918-311,,,,,,,,,,Req_155,0,Chat Management
"Req_156
",Req_156_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,System Automatically Tracks and Closes Cases for SMS Responses,0,,,PR09918-325,PR09918-325,,,,,,,,,,Req_156,0,Chat Management - Automation
Req_157,Req_157_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management,,System Displays Chat Preview Before Agent Accepts Chat,0,,,PR09918-312,PR09918-312,,,,,,,,,,Req_157,0,Chat Management
Req_158,Req_158_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management,,Agent Can Accept and Manage Multiple Incoming SMS Conversations,0,,,PR09918-313,PR09918-313,,,,,,,,,,Req_158,0,Chat Management
Req_159,Req_159_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Einstein AI,,System Provides Script Prompts for Inbound SMS Conversations,0,,,PR09918-331,PR09918-331,,,,,,,,,,Req_159,0,Einstein AI
Req_160,Req_160_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management,,Ability to View Chat Windows as a Pop-up or on a Separate Screen,0,,,PR09918-314,PR09918-314,,,,,,,,,,Req_160,0,Chat Management
Req_161,Req_161_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,Ability to Chat with Customers via SMS Integration,0,,,PR09918-326,PR09918-326,,,,,,,,,,Req_161,0,Chat Management - Automation
Req_162,Req_162_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,Automated Response Suggestions for SMS Conversations,0,,,PR09918-326,#N/A,,,,,,,,,,Req_162,0,Chat Management - Automation
Req_163,Req_163_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,System Automatically Generates Case Information for General Inquiry SMS,0,,,PR09918-327,PR09918-327,,,,,,,,,,Req_163,0,Chat Management - Automation
Req_164,Req_164_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management - Automation,,"System Automatically Generates Issue for Inbound SMS Cases
",0,,,PR09918-328,PR09918-328,,,,,,,,,,Req_164,0,Chat Management - Automation
Req_165,Req_165_001,PCRM inbound SMS,RFP,Priority 1,Social Customer Service,Chat Management,,"Ability to Interact with Customers and Record Case Information in the Same Interface
",0,,,PR09918-315,PR09918-315,,,,,,,,,,Req_165,0,Chat Management
"Req_1077
PP_132",Req_1077_001,T2 Godwill process,New,Priority 1,Case management,Goodwill Claim Tool Automation,,Automate Goodwill Claim Evaluation Process with Pre-Populated Data and Calculation Tool in CRRS,8,,,PR09918-286,#N/A,,,,,,,,,,Req_1077,0,Goodwill Claim Tool Automation
"Req_1078
PP_133",Req_1078_001,T2 Godwill process,New,Priority 2,Case management,Goodwill Claim Tool Automation,,Automate Goodwill Claim Evaluation and Provide Loyalty Score displayed  in CRRS,3,,,PR09918-287,#N/A,,,,,,,,,,Req_1078,0,Goodwill Claim Tool Automation
Req_125,Req_125_001,T2 Godwill process,RFP,Priority 1,Case management,Case Management,,Ability to Request Release Forms and Proof of Ownership through CRRS,0,,,PR09918-293,PR09918-293,,,,,,,,,,Req_125,0,Case Management
"Req_1082
PP_137",Req_1082_001,T2 Godwill process,New,Priority 2,Administration,Data Integration,,Automate Ingestion of AHM Field Directory into CRRS to Eliminate Manual Updates,13,,,PR09918-291,#N/A,,,,,,,,,,Req_1082,0,Data Integration
"Req_1079
PP_134",Req_1079_001,T2 Godwill process,New,Priority 1,Case Management,Agent Functions via Email application,,Integrate Email Communication in CRRS to Track Dealer Communications Regarding RO or Warranty Pricing,5,,,PR09918-288,#N/A,,,,,,,,,,Req_1079,0,Agent Functions via Email application
"Req_1083
PP_138",Req_1083_001,T2 Godwill process,New,Priority 1,Case Management,Agent Functions via Email application,,Integrate Email Communication in CRRS for Goodwill Claim Authorization,2,,,PR09918-292,#N/A,,,,,,,,,,Req_1083,0,Agent Functions via Email application
Req_126,Req_126_001,T2 Godwill process,RFP,Priority 2,Case Management - Automation,Customer Self-Service,,Ability to Receive and View Release Forms and Proof of Ownership in CRRS,0,,,PR09918-294,PR09918-294,,,,,,,,,,Req_126,0,Customer Self-Service
"Req_1080
PP_135",Req_1080_001,T2 Godwill process,New,Priority 2,Data Integration,Data Integration,,Integrate Warranty Pricing Information into CRRS to Streamline Communication and Reduce Delays,21,,,PR09918-289,#N/A,,,,,,,,,,Req_1080,0,Data Integration
"Req_1081
PP_136",Req_1081_001,T2 Godwill process,New,Priority 2,Data Integration,Data Integration,,Integrate Dealer and Service Manager Information into CRRS from CICS and Other Systems,21,,,PR09918-290,#N/A,,,,,,,,,,Req_1081,0,Data Integration
Req_127,Req_127_001,T2 Godwill process,RFP,Priority 1,Service Cloud Console / Page Layouts,Goodwill Claim Tool Automation,,Ability to Start and Track Mediation Workflow in CRRS,0,,,PR09918-295,PR09918-295,,,,,,,,,,Req_127,0,Goodwill Claim Tool Automation
Req_127,Req_127_002,T2 Godwill process,RFP,Priority 1,Service Cloud Console / Page Layouts,Goodwill Claim Tool Automation,,Ability to Initiate and Manage Check Requests within CRRS,0,,,PR09918-296,PR09918-295,,,,,,,,,,Req_127,0,Goodwill Claim Tool Automation
"Req_1163
PP_150_A

",Req_1163_001,T2Claims,New,Priority 1,Administration,Reimbursement Tool - Automation,,Update Approval Process for Claims ,5,,,#N/A,#N/A,,,,,,,,,,Req_1163,5,Reimbursement Tool - Automation
Req_018,Req_018_001,T2Claims,RFP,Priority 2,Case Management,Case Management,,Updation of case stage,1,,,#N/A,#N/A,,,,,,,,,,Req_018,1,Case Management
Req_019,Req_019_001,T2 Critical Backorders,RFP,Priority 1,Case Management,Case Assignment,,Mediation case escalation ,5,,,#N/A,#N/A,,,,,,,,,,Req_019,5,Case Assignment
Req_039,Req_039_001,T2Claims,RFP,Priority 1,Case Management,Case Management - Automation,,Auto create- Issue from the Case,3,,,#N/A,#N/A,,,,,,,,,,Req_039,3,Case Management - Automation
"Req_1164
PP_151",Req_1164_001,T2Claims,New,Priority 1,Case Management,Case Management,,Update Fields as Read Only on Case,2,,,#N/A,#N/A,,,,,,,,,,Req_1164,2,Case Management
"Req_1169
PP_156",Req_1169_001,T2Claims,New,Priority 3,Case Management,Einstein GenAI ,,Generate call summary  based on the call transcription ,8,,,#N/A,#N/A,,,,,,,,,,Req_1169,8,Einstein GenAI 
Req_016,Req_016_001,T2Claims,RFP,Priority 2,Case Management - Automation,Reimbursement Tool - Automation,,Automated determination of customer settlement,5,,,#N/A,#N/A,,,,,,,,,,Req_016,5,Reimbursement Tool - Automation
"Req_1161
PP_149",Req_1161_001,T2Claims,New,Priority 2,Case Management - Automation,Case Management - Automation,,Email to case functionality- for Claims email from customer,13,,,#N/A,#N/A,,,,,,,,,,Req_1161,13,Case Management - Automation
Req_036,Req_036_001,T2Claims,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,,Templates / Next actions for closing case,5,,,#N/A,#N/A,,,,,,,,,,Req_036,5,Case Management
Req_037,Req_037_001,T2Claims,RFP,Priority 1,Case Management - Call Wrap-up,Agent Functions via Email Application,,Auto-fill any known data for emails and letters for closing case,3,,,#N/A,#N/A,,,,,,,,,,Req_037,3,Agent Functions via Email Application
Req_038,Req_038_001,T2Claims,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,,Add Case Notes to any non CAPPS /CAPPS Case,2,,,#N/A,#N/A,,,,,,,,,,Req_038,2,Case Management
Req_015,Req_015_001,T2Claims,RFP,Priority 1,Case Management - Search,Search functionality,,Auto Search Duplicate Cases while creation of case ,3,,,#N/A,#N/A,,,,,,,,,,Req_015,3,Search functionality
"Req_1162
PP_150",Req_1162_001,T2Claims,New,Priority 1,Case Management- Automation,Reimbursement Tool - Automation,,Auto update the Check request field from case,5,,,#N/A,#N/A,,,,,,,,,,Req_1162,5,Reimbursement Tool - Automation
"Req_1166
PP_153",Req_1166_001,T2Claims,RFP,Priority 1,Case Management- Automation,Case Management,,Relevant Email template for Approved Claims,3,,,#N/A,#N/A,,,,,,,,,,Req_1166,3,Case Management
"Req_1167
PP_154",Req_1167_001,T2Claims,New,Priority 3,Case Management-Call Wrap-up,IVR Integration,,Update Incoming call types as per call notes,3,,,#N/A,#N/A,,,,,,,,,,Req_1167,3,IVR Integration
"Req_1168
PP_155",Req_1168_001,T2Claims,New,Priority 2,Customer Self-Service,Customer Self-Service,,Submission of Online claims with required documents,5,,,#N/A,#N/A,,,,,,,,,,Req_1168,5,Customer Self-Service
Req_014,Req_014_001,T2Claims,RFP,Priority 2,Data Integration,Case Management,,Visual Indicator- Warranty Claims/Campaigns,3,,,#N/A,#N/A,,,,,,,,,,Req_014,3,Case Management
"Req_1165
PP_152",Req_1165_001,T2Claims,New,Priority 1,Data Integration,Reimbursement Tool - Automation,,Auto fill the Assessment information (case summary) and CheckReq summary into  Case Notes ,5,,,#N/A,#N/A,,,,,,,,,,Req_1165,5,Reimbursement Tool - Automation
Req_017,Req_017_001,T2Claims,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Display Case Lifecycle,2,,,#N/A,#N/A,,,,,,,,,,Req_017,2,Case Management
Req_035,Req_035_001,T2Claims,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Managing Issue codes,3,,,#N/A,#N/A,,,,,,,,,,Req_035,3,Case Management
"Req_056
Req_065
PP_143","Req_056_001
",T2 in car Technology,RFP,Priority 1,Case management,Case Management - Automation,,Enhance CRRS with Survey Functionality for Probing Questions,34,,,#N/A,#N/A,,,,,,,,,,Req_056,34,Case Management - Automation
"Req_056
PP_145",Req_056_002,T2 in car Technology,RFP,Priority 1,Case management,Case Management - Automation,,Automate Probing Questions (PQ) Workflow in AutoCloud,13,,,#N/A,#N/A,,,,,,,,,,Req_056,13,Case Management - Automation
Req_056,"Req_056_001
",T2 in car Technology,RFP,Priority 1,Case management,Case Management - Automation,,"Enable Agents to Send, Receive, and Manage Probing Questions (PQ) with Automatic Case Detection",34,,,#N/A,#N/A,,,,,,,,,,Req_056,34,Case Management - Automation
Req_058,Req_058_001,T2 in car Technology,RFP,Priority 1,Automatic Case Routing and Tracking,Case Assignment,,Enable Group Leads and Agents to Assign Cases to an Agent Queue,2,,,#N/A,#N/A,,,,,,,,,,Req_058,2,Case Assignment
Req_061,Req_061_001,T2 in car Technology,RFP,Priority 1,Case Management,Case Management,,"Enable Case Managers to Create an Issue from a Case
",2,,,#N/A,#N/A,,,,,,,,,,Req_061,2,Case Management
Req_062,Req_062_001,T2 in car Technology,RFP,Priority 1,Case Management,Case Management,,Enable Case Managers to Update Issue Disposition and Category,2,,,#N/A,#N/A,,,,,,,,,,Req_062,2,Case Management
Req_064,Req_064_001,T2 in car Technology,RFP,Priority 1,Case Management,Case Assignment,,Enable Manager Approval and Supervisor Case Transfer in CRRS,3,,,#N/A,#N/A,,,,,,,,,,Req_064,3,Case Assignment
Req_068,Req_068_001,T2 in car Technology,RFP,Priority 1,Case Management,Case Management,,Enable Case Managers to Complete Call Disposition,2,,,#N/A,#N/A,,,,,,,,,,Req_068,2,Case Management
"Req_1084
PP_140",Req_1084_001,T2 in car Technology,New,Priority 1,Case Management - Automation,Agent Console Call Flow,,Reduce Note-Capturing Time with Quick Links for High-Volume Case Types,5,,,#N/A,#N/A,,,,,,,,,,Req_1084,5,Agent Console Call Flow
"Req_1085
PP_141",Req_1085_001,T2 in car Technology,New,Priority 1,Case Management - Automation,Data Integration,,Display TCU Version on Vehicle Information Page and Case Queue,21,,,#N/A,#N/A,,,,,,,,,,Req_1085,21,Data Integration
"Req_1086
PP_146",Req_1086_001,T2 in car Technology,New,Priority 2,Case Management - Automation,Data Integration,,Automate VIN Pre-Population from CRRS to CCS Portal,5,,,#N/A,#N/A,,,,,,,,,,Req_1086,5,Data Integration
Req_065,Req_065_001,T2 in car Technology,RFP,Priority 3,Case Management - Automation,Case Management - Automation,,"Automatically Upload Customer Responses for Probing Questions (PQs)
",5,,,#N/A,#N/A,,,,,,,,,,Req_065,5,Case Management - Automation
Req_067,Req_067_001,T2 in car Technology,RFP,Priority 1,Case Management - Automation,Duplicate Management,,Detect Duplicate Cases and Prevent Responses to Original Email,5,,,#N/A,#N/A,,,,,,,,,,Req_067,5,Duplicate Management
"Req_059
Req_060",Req_059_001,T2 in car Technology,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,,Enable Agents to Log Calls and Post Call Comments in CRRS,2,,,#N/A,#N/A,,,,,,,,,,Req_059,2,Case Management
"Req_063
PP_142",Req_063_001,T2 in car Technology,RFP,Priority 2,Case Management - Process,Case Management - Automation,,"Mitigate Fraudulent Radio/Navi Code Cases in CRRS
",21,,,#N/A,#N/A,,,,,,,,,,Req_063,21,Case Management - Automation
Req_063,Req_063_001,T2 in car Technology,RFP,Priority 2,Case Management - Process,Case Management - Automation,,Simplify Radio Code Retrieval Process and Auto-Populate Fields Based on Vehicle Data,21,,,#N/A,#N/A,,,,,,,,,,Req_063,21,Case Management - Automation
"Req_057
PP_139",Req_057_001,T2 in car Technology,RFP,Priority 2,Data Integration,Data Integration,,Automate Case Status Updates via Salesforce-Jira Integration,21,,,#N/A,#N/A,,,,,,,,,,Req_057,21,Data Integration
"Req_066
PP_148",Req_066_001,T2 in car Technology,RFP,Priority 1,Data Integration,Case Management,,Enable Agents to Remotely View Customer Screens for Faster Issue Resolution,0,,,#N/A,#N/A,,,,,,,,,,Req_066,0,Case Management
Req_057,Req_057_001,T2 in car Technology,RFP,Priority 2,Data Integration,Data Integration,,"Enable Agents to Create, View Status, and Close Jira Tickets from CRRS",21,,,#N/A,#N/A,,,,,,,,,,Req_057,21,Data Integration
Req_066,Req_066_001,T2 in car Technology,RFP,Priority 1,Data Integration,Case Management,,Enable Agents to Have Visual Access to Customer's Screen for Remote Assistance,0,,,#N/A,#N/A,,,,,,,,,,Req_066,0,Case Management
"Req_1087
PP_147",Req_1087_001,T2 in car Technology,New,Priority 2,                            ---,Agent Console Call Flow,,Enable CRRS to Perform CCS Portal Actions,34,,,#N/A,#N/A,,,,,,,,,,Req_1087,34,Agent Console Call Flow
"Req_1088
PP_076",Req_1088_001,T2 Import-Export,New,Priority 4,Case Management,Einstein GenAI,,Implement Computer Vision for Automated Document Verification in T2 Import/Export Cases,21,,,#N/A,#N/A,,,,,,,,,,Req_1088,21,Einstein GenAI
"Req_1173
PP_077",Req_1173_001,T2 Import-Export,New,Priority 1,Case Management,Case Management - Automation,,Automate Generation of Recall Clearance and Compliance Letters for Vehicle Import/Export,8,,,#N/A,#N/A,,,,,,,,,,Req_1173,8,Case Management - Automation
"Req_1090
PP_079",Req_1090_001,T2 Import-Export,New,Priority 2,Case Management,Language Translation,,Integrate In-System Translation for Handling Non-English Documents in CRRS,21,,,#N/A,#N/A,,,,,,,,,,Req_1090,21,Language Translation
"Req_1091
PP_080",Req_1091_001,T2 Import-Export,New,Priority 1,Case Management,Agent Functions via Email Application,,Automate Email Response Handling in CRRS for T2 Import/Export Cases,8,,,#N/A,#N/A,,,,,,,,,,Req_1091,8,Agent Functions via Email Application
"Req_1092
PP_081",Req_1092_001,T2 Import-Export,New,Priority 2,Case Management,Case Management - Automation,,Implement Country-Specific Template Display and Alerts in CRRS for T2 Import/Export Cases,3,,,#N/A,#N/A,,,,,,,,,,Req_1092,3,Case Management - Automation
"Req_1093
PP_082",Req_1093_001,T2 Import-Export,New,Priority 2,Case Management,Case Management - Automation,,Implement Role-Based Template Access in CRRS for T2 Import/Export Cases,3,,,#N/A,#N/A,,,,,,,,,,Req_1093,3,Case Management - Automation
"Req_1094
PP_083",Req_1094_001,T2 Import-Export,New,Priority 1,Case Management,Duplicate Management ,,Streamline Case Management for New Contacts with Recall Questions Linked to Existing VINs,3,,,#N/A,#N/A,,,,,,,,,,Req_1094,3,Duplicate Management 
"Req_1095
PP_084",Req_1095_001,T2 Import-Export,New,Priority 3,Case Management,Data Integration,,Enable US Agents to Access Canadian Campaign Information Directly in CRRS,1,,,#N/A,#N/A,,,,,,,,,,Req_1095,1,Data Integration
